species,speed,sd,n_tracks,source
Milvus milvus,10.1,2.3,19,
Monticola saxatilis,15.5,0,1,
Motacilla alba,14.1,1.9,5,Alerstam2007
Motacilla alba,13,1.6,13,Bruderer2001
Motacilla flava,12.7,1.8,7,Bruderer2001
Motacilla flava,6.1,0.8,5,
Motacilla flava,11.9,1.2,4,
Muscicapa striata,13.4,0.8,4,
Neophron percnopterus,12.6,2.5,3,Bruderer2001
Neophron percnopterus,15.6,2.3,93,
Neophron percnopterus,15.7,1.9,19,
Neophron percnopterus,10.5,0,1,Bruderer2001
Nucifraga caryocatactes,13.4,2.8,2,Alerstam2007
Numenius arquata,16.3,2.3,16,Alerstam2007
Numenius arquata,13.2,1.2,2,
Numenius phaeopus,16.3,0.9,4,Alerstam2007
Nycticorax nycticorax,11.2,0.5,4,Bruderer2001
Oenanthe oenanthe,12.8,0,1,Bruderer2001
Oenanthe oenanthe,13.1,1.2,2,
Pandion haliaetus,13.3,2.7,5,Alerstam2007
Pandion haliaetus,12.5,1.7,11,
Pandion haliaetus,11.4,1.6,10,Bruderer2001
Pandion haliaetus,13.7,2.6,21,
Parus ater,10.6,2.3,2,Alerstam2007
Parus major,13.6,0,1,Bruderer2001
Pelecanus onocrotalus,15.6,0,1,Bruderer2001
Pelecanus onocrotalus,16,1.7,5,
Pernis apivorus,12.5,2.3,13,Alerstam2007
Pernis apivorus,10.1,1.5,16,Bruderer2001
Pernis apivorus,14.2,2.6,234,
Pernis apivorus,10.2,1.5,15,Bruderer2001
Pernis apivorus,12.1,2.9,125,
Phalacrocorax carbo,15.2,3,35,Alerstam2007
Phalacrocorax carbo,16.7,3.3,2,Bruderer2001
Phalaropus fulicarius,12.4,2.3,6,Alerstam2007
Phalaropus lobatus,13.1,NA,1,Alerstam2007
Philomachus pugnax,17.4,1,3,Alerstam2007
Philomachus pugnax,13.6,1.2,3,Bruderer2001
Phoenicopterus ruber,15.2,2.7,3,Bruderer2001
Phoenicurus ochruros,9.3,2.9,7,
Phoenicurus phoenicurus,7.5,2.7,8,
