name,sex,bodymass,wingspan,fat_mass,order,wingarea,muscle_mass
Cygnus cygnus,NA,5.925,2.3,1.95525,2,0.3377,1.00725
Cygnus olor,NA,11.602,2.4,3.82866,2,0.6808,1.9723400000000002
Mareca penelope,NA,0.83,0.855,0.2739,2,0.0664,0.1411
Mareca strepera,NA,0.8239,0.805,0.271887,2,0.07871,0.140063
Melanitta fusca,NA,1.578,0.967,0.5207400000000001,2,0.101,0.26826000000000005
Melanitta nigra,NA,0.87,0.85,0.2871,2,0.0679,0.1479
Mergellus albellus,NA,0.495,0.625,0.16335,2,0.0431,0.08415
Mergus merganser,NA,1.47,0.955,0.48510000000000003,2,0.0853,0.2499
Mergus serrator,NA,0.818,0.886,0.26994,2,0.0589,0.13906
Oxyura jamaicensis,NA,0.635,0.58,0.20955000000000001,2,0.0394,0.10795
Spatula clypeata,NA,0.633,0.798,0.20889000000000002,2,0.0614,0.10761000000000001
Spatula discors,NA,0.332,0.64,0.10956,2,0.037,0.056440000000000004
Spatula querquedula,NA,0.327,0.654,0.10791,2,0.0399,0.05559000000000001
Apus apus,NA,0.0362,0.42,0.011946000000000002,2,0.0165,0.006154000000000001
Chaetura pelagica,NA,0.0173,0.32,0.005709,2,0.0104,0.002941
Upupa epops,NA,0.091,0.477,0.03003,2,0.0366,0.015470000000000001
Caprimulgus europaeus,NA,0.092,0.569,0.03036,2,0.0398,0.01564
Chordeiles minor,NA,0.07529999999999999,0.584,0.024849,2,0.03495,0.012801
Alca torda,NA,0.78,0.681,0.2574,2,0.0382,0.13260000000000002
Alle alle,NA,0.0912,0.387,0.030096,2,0.0167,0.015504000000000002
Fratercula arctica,NA,0.272,0.564,0.08976,2,0.0345,0.04624
Uria aalge,NA,1.01,0.702,0.33330000000000004,2,0.0424,0.17170000000000002
Burhinus oedicnemus,NA,0.522,0.837,0.17226000000000002,2,0.0757,0.08874000000000001
Charadrius hiaticula,NA,0.062200000000000005,0.408,0.020526000000000003,2,0.0188,0.010574000000000002
Eudromias morinellus,NA,0.09,0.466,0.0297,2,0.0247,0.015300000000000001
Pluvialis apricaria,NA,0.178,0.585,0.05874,2,0.0356,0.030260000000000002
Pluvialis squatarola,NA,0.216,0.654,0.07128,2,0.0413,0.03672
Vanellus vanellus,NA,0.211,0.75,0.06963,2,0.0668,0.03587
Haematopus ostralegus,NA,0.438,0.805,0.14454,2,0.0622,0.07446000000000001
Larus ridibundus,NA,0.261,0.971,0.08613000000000001,2,0.0853,0.04437000000000001
Larus argentatus,NA,1.189,1.43,0.39237000000000005,2,0.2105,0.20213000000000003
Larus canus,NA,0.367,1.08,0.12111000000000001,2,0.1149,0.06239
Larus marinus,NA,1.915,1.72,0.63195,2,0.2719,0.32555
Rissa tridactyla,NA,0.488,1.05,0.16104000000000002,2,0.0967,0.08296
Sterna hirundo,NA,0.118,0.829,0.03894,2,0.0563,0.02006
Recurvirostra avosetta,NA,0.295,0.772,0.09735,2,0.0684,0.05015
Actitis hypoleucos,NA,0.0485,0.357,0.016005000000000002,2,0.0148,0.008245
Arenaria interpres,NA,0.10779999999999999,0.476,0.035574,2,0.0213,0.018326
Calidris alba,NA,0.0419,0.354,0.013827,2,0.016,0.007123000000000001
Calidris alpina,NA,0.044,0.36,0.01452,2,0.0126,0.00748
Calidris canutus,NA,0.088,0.503,0.02904,2,0.0269,0.01496
Calidris pugnax,NA,0.18,0.632,0.0594,2,0.0457,0.030600000000000002
Gallinago gallinago,NA,0.1038,0.448,0.034254,2,0.02475,0.017646000000000002
Limosa lapponica,NA,0.197,0.733,0.06501000000000001,2,0.052,0.033490000000000006
Limosa limosa,NA,0.228,0.69,0.07524,2,0.0527,0.03876
Lymnocryptes minimus,NA,0.057,0.393,0.01881,2,0.0178,0.00969
Numenius arquata,NA,0.768,1.044,0.25344,2,0.1175,0.13056
Scolopax rusticola,NA,0.322,0.665,0.10626000000000001,2,0.0596,0.054740000000000004
Tringa erythropus,NA,0.133,0.541,0.043890000000000005,2,0.0326,0.02261
Tringa nebularia,NA,0.156,0.608,0.051480000000000005,2,0.0406,0.026520000000000002
Tringa ochropus,NA,0.0727,0.472,0.023991000000000002,2,0.0248,0.012359
Tringa totanus,NA,0.133,0.516,0.043890000000000005,2,0.0366,0.02261
Ciconia ciconia,NA,3.438,1.978,1.13454,2,0.4951,0.5844600000000001
Leptoptilos crumenifer,NA,7.03,2.817,2.3199,2,0.8225,1.1951
Columba livia,NA,0.3877,0.65,0.127941,2,0.06122,0.06590900000000001
Columba oenas,NA,0.306,0.653,0.10098,2,0.0532,0.052020000000000004
Columba palumbus,NA,0.495,0.751,0.16335,2,0.0797,0.08415
Streptopelia turtur,NA,0.178,0.529,0.05874,2,0.0376,0.030260000000000002
Alcedo atthis,NA,0.0364,0.288,0.012012000000000002,2,0.0108,0.006188000000000001
Coracias garrulus,NA,0.128,0.615,0.04224,2,0.0483,0.02176
Cuculus canorus,NA,0.104,0.583,0.03432,2,0.0419,0.01768
Caracara plancus,NA,1.209,1.354,0.39897000000000005,2,0.2321,0.20553000000000002
Falco columbarius,NA,0.159,0.62,0.05247,2,0.0424,0.027030000000000002
Falco jugger,NA,0.5714,1.01,0.188562,2,0.11202,0.09713800000000002
