name,sex,bodymass,wingspan,fat_mass,order,wingarea,muscle_mass,range,body_mass_out,fat_mass_out,muscle_mass_out,start_min_speed,end_min_speed
Pelecanoides georgicus,NA,0.114,0.381,0.03762,2,0.02,0.01938,4166.734255947784,0.06261524239971929,-0,0.01938,12.30257421564311,10.07655380269205
Pelecanoides urinatrix,NA,0.137,0.393,0.04521000000000001,2,0.0221,0.023290000000000005,4028.1261265812336,0.07525787429447287,-0,0.023290000000000005,12.878958610155708,10.549288391554603
Procellaria aequinoctialis,NA,1.37,1.4,0.45210000000000006,2,0.169,0.23290000000000002,8386.305573937496,0.7528176063390426,-0,0.23290000000000002,14.706624533419811,12.046279708195646
Gulosus aristotelis,NA,1.81,1.04,0.5973,2,0.158,0.30770000000000003,4764.297693276085,0.9945750333893637,-0,0.30770000000000003,18.72405243222988,15.339332127786117
Leucocarbo atriceps,NA,2.23,1.13,0.7359,2,0.183,0.37910000000000005,4891.727279215525,1.224924299666657,-0,0.37910000000000005,19.25755574143178,15.774530697301222
Morus bassanus,NA,3.01,1.85,0.9933,2,0.262,0.5117,9126.079408664058,1.6541232643946338,-0,0.5117,16.634003005001595,13.62540641084041
Accipiter cooperii,NA,0.4285,0.711,0.141405,2,0.0898,0.07284500000000001,4562.013923195857,0.2353318656772096,-0,0.07284500000000001,14.00559338833581,11.471078679442995
Accipiter gentilis,f,1.37,1.5,0.45210000000000006,2,0.2004,0.23290000000000002,8795.516149545188,0.7526531786814301,-0,0.23290000000000002,14.207949118569264,11.636840877016036
Accipiter gentilis,m,0.778,1.05,0.25674,2,0.13985,0.13226000000000002,6469.356949400123,0.4274668654810285,-0,0.13226000000000002,14.061373998869772,11.51770174772246
Accipiter nisus,f,0.221,0.75,0.07293000000000001,2,0.0822,0.037570000000000006,6079.490705316129,0.12143581538355876,-0,0.037570000000000006,10.934650467128723,8.956578815992588
Accipiter nisus,m,0.136,0.622,0.04488,2,0.053,0.02312,5907.246191162375,0.07473647380043244,-0,0.02312,10.212233755086988,8.365066711551444
Accipiter striatus,NA,0.1343,0.533,0.044319000000000004,2,0.0523,0.022831,4612.968308513871,0.07376871722376988,-0,0.022831,10.985768910307907,8.997753251656787
Aquila chrysaetos,NA,3.712,2.121,1.22496,2,0.5382,0.63104,8226.301329092443,2.0398870615112497,-0,0.63104,16.659986165978594,13.646840771759308
Aquila fasciata,NA,2.06,1.552,0.6798000000000001,2,0.3172,0.3502,6982.560280467339,1.1315892236753855,-0,0.3502,16.003300972835216,13.107415837121344
Buteo buteo,NA,1.027,1.322,0.33891,2,0.2691,0.17459,6746.613128332652,0.5642089506238376,-0,0.17459,13.747500016979588,11.26001711426941
Buteo jamaicensis,NA,1.091,1.22,0.36003,2,0.2086,0.18547,6472.118496904574,0.599554261983651,-0,0.18547,14.60210114997204,11.961417678158394
Buteo lagopus,NA,1.11,1.41,0.36630000000000007,2,0.2592,0.18870000000000003,7548.152430734962,0.6099184186223419,-0,0.18870000000000003,13.6611220259152,11.189762763486243
Buteo lineatus,NA,0.804,1.016,0.26532000000000006,2,0.1656,0.13668000000000002,5587.834489755411,0.44175942380272604,-0,0.13668000000000002,14.452292804043577,11.838320833982335
Buteo platypterus,NA,0.376,0.838,0.12408000000000001,2,0.1012,0.06392,5996.9980627064115,0.20654753203762405,-0,0.06392,12.350480391431153,10.115522742527402
Circaetus gallicus,NA,1.655,1.81,0.54615,2,0.4121,0.28135000000000004,8617.134410328685,0.9094003424757682,-0,0.28135000000000004,13.775601101021612,11.283419525053917
Circus aeruginosus,NA,0.68,1.345,0.22440000000000002,2,0.2264,0.11560000000000002,8225.807897030621,0.37371315790531784,-0,0.11560000000000002,11.878491568226929,9.729961763263764
Circus cyaneus,f,0.4715,1.167,0.155595,2,0.1759,0.080155,7805.9633918654235,0.2590731994692254,-0,0.080155,11.286295879695679,9.244257360942372
Circus cyaneus,m,0.331,1.044,0.10923000000000001,2,0.1406,0.05627000000000001,7641.399281944095,0.18188258792857104,-0,0.05627000000000001,10.604570901534546,8.6859947205957
Circus hudsonius,f,0.615,1.1,0.20295000000000002,2,0.1696,0.10455,6809.727765972706,0.33785489963968807,-0,0.10455,12.70206181912095,10.403504050158492
Circus hudsonius,m,0.414,1.067,0.13662,2,0.1382,0.07038,7655.929450200939,0.22745541572478797,-0,0.07038,11.302333490115814,9.25709975355036
Circus macrourus,NA,0.386,1.107,0.12738000000000002,2,0.1413,0.06562000000000001,8120.197814854527,0.21211973543698268,-0,0.06562000000000001,10.840111995992798,8.879094759999662
Circus pygargus,NA,0.2365,1.101,0.078045,2,0.1296,0.040205,8837.170696475048,0.1299646034281296,-0,0.040205,9.231233596231053,7.561113083931091
Geranoaetus melanoleucus,NA,2.123,1.453,0.7005900000000002,2,0.355,0.36091000000000006,5788.204206555071,1.1661499506226656,-0,0.36091000000000006,16.706509786168336,13.683788094084784
Gypaetus barbatus,NA,5.385,2.524,1.77705,2,0.7431,0.91545,8798.63919521106,2.95817959459919,-0,0.91545,17.289660746422044,14.160831838636444
Gyps fulvus,NA,7.269,2.557,2.3987700000000003,2,1.054,1.2357300000000002,7004.203717747915,3.9948175723389583,-0,1.2357300000000002,18.985286337030395,15.552641656232561
Milvus migrans,NA,0.8895,1.408,0.293535,2,0.26356,0.15121500000000002,7865.973145680734,0.48878225685480625,-0,0.15121500000000002,12.697539170541797,10.400511494265682
Milvus milvus,NA,0.927,1.628,0.30591,2,0.2902,0.15759,9475.100404359233,0.5093652771678652,-0,0.15759,11.972217678967203,9.805998415823854
Pernis apivorus,NA,0.615,1.199,0.20295000000000002,2,0.1894,0.10455,7505.384177447752,0.33787889503603474,-0,0.10455,12.16636868685804,9.964804376287764
Terathopius ecaudatus,NA,2.095,1.536,0.6913500000000001,2,0.3582,0.3561500000000001,6436.404885222187,1.150851910371079,-0,0.3561500000000001,16.17707424805494,13.250095989924093
