birdlife_name,species,speed,sd,n_tracks,source,V_mp,V_mr,flight_type,soaring_birds
Aquila nipalensis,Aquila nipalensis,7.7,1,1,Bruderer2001,,11.3,flapping,1
Aquila nipalensis,Aquila nipalensis,14.3,2.5,101,Bruderer2001,,19.5,gliding,1
Aquila nipalensis,Aquila nipalensis,15.3,2,9,Bruderer2001,,11.3,mixed,1
Clanga pomarina,Aquila pomarina,11.7,3,2,Bruderer2001,,9.8,flapping,1
Clanga pomarina,Aquila pomarina,14.5,2.7,67,Bruderer2001,,16.2,gliding,1
Clanga pomarina,Aquila pomarina,14.7,2,9,Bruderer2001,,9.8,mixed,1
Ardea cinerea,Ardea cinerea,11.2,1.6,49,Bruderer2001,9.4,15.2,,
Ardea purpurea,Ardea purpurea,10.8,2,12,Bruderer2001,9.1,15,,
Ardeola ralloides,Ardeola ralloides,11.7,0,1,Bruderer2001,7.3,12.3,,
Asio flammeus,Asio flammeus,8.4,1.4,3,Bruderer2001,7.1,11.9,,
Buteo buteo,Buteo buteo,11.5,1.4,93,Bruderer2001,,16.4,gliding,1
Buteo buteo,Buteo buteo,13.3,1.3,13,Bruderer2001,,8,flapping,1
Buteo buteo,Buteo buteo,9.6,1.7,57,Bruderer2001,9.8,16.5,,
Buteo buteo,Buteo buteo,9.6,1.7,,Bruderer2001,,9.8,flapping,1
Buteo buteo,Buteo buteo,11.1,0,1,Bruderer2001,8,13.4,,
Buteo buteo,Buteo buteo,11,3.4,23,Bruderer2001,,9.8,mixed,1
Buteo buteo,Buteo buteo,14.4,2.4,324,Bruderer2001,,14.9,gliding,1
Buteo buteo,Buteo buteo,14.4,2.4,51,Bruderer2001,,8,mixed,1
Buteo rufinus,Buteo rufinus,14.6,2.8,11,Bruderer2001,,16.7,gliding,1
Buteo rufinus,Buteo rufinus,14.8,2.4,17,Bruderer2001,,9.8,mixed,1
Calidris alpina,Calidris alpina,8.9,1.6,2,Bruderer2001,5.7,9.3,,
Caprimulgus ruficollis,Caprimulgus ruficollis,8.9,0,1,Bruderer2001,5,8.8,,
Linaria cannabina,Carduelis cannabina,15.7,0,1,Bruderer2001,5.4,10,,
Carduelis carduelis,Carduelis carduelis,12.8,3,3,Bruderer2001,5.3,9.7,,
Chloris chloris,Carduelis chloris,12.2,0,1,Bruderer2001,5.9,10.6,,
Acanthis flammea,Carduelis flammea,8.4,0,1,Bruderer2001,4.7,9,,
Spinus spinus,Carduelis spinus,12.4,0.9,2,Bruderer2001,5.1,9.4,,
Spinus spinus,Carduelis spinus,6.7,1,2,Bruderer2001,5.1,9.4,,
Charadrius hiaticula,Charadrius hiaticula,10.6,0,1,Bruderer2001,5.5,8.9,,
Chlidonias leucopterus,Chlidonias leucopterus,12,0,1,Bruderer2001,5.1,8.8,,
Ciconia ciconia,Ciconia ciconia,13.9,2.9,26,Bruderer2001,,12.9,flapping,1
Ciconia ciconia,Ciconia ciconia,13.5,2.5,109,Bruderer2001,,12.9,mixed,1
Ciconia ciconia,Ciconia ciconia,9.1,1.2,3,Bruderer2001,12.9,23,,
Ciconia nigra,Ciconia nigra,16,1.8,6,Bruderer2001,,13.2,flapping,1
Ciconia nigra,Ciconia nigra,15.4,2.2,21,Bruderer2001,,13.2,mixed,1
Circaetus gallicus,Circaetus gallicus,13.6,2.2,34,Bruderer2001,,17.9,gliding,1
Circaetus gallicus,Circaetus gallicus,13.4,2.3,31,Bruderer2001,,9.5,mixed,1
Circus aeruginosus,Circus aeruginosus,12.6,2,50,Bruderer2001,,15,gliding,1
Circus aeruginosus,Circus aeruginosus,10.1,2,22,Bruderer2001,,8,flapping,1
Circus aeruginosus,Circus aeruginosus,9.7,1.1,15,Bruderer2001,8,13.5,,
Circus aeruginosus,Circus aeruginosus,11.6,2.1,4,Bruderer2001,,8,mixed,1
Circus cyaneus,Circus cyaneus,11.7,1.5,3,Bruderer2001,,14.6,gliding,1
Circus cyaneus,Circus cyaneus,11.4,1.1,3,Bruderer2001,,7.4,mixed,1
Circus macrourus,Circus macrourus,9.6,1,3,Bruderer2001,,7.2,flapping,1
Circus macrourus,Circus macrourus,13.2,4,5,Bruderer2001,,14.3,gliding,1
Circus macrourus,Circus macrourus,12.9,1.1,7,Bruderer2001,,7.2,mixed,1
Circus macrourus,Circus macrourus,8.5,0,1,Bruderer2001,7.2,12,,
Circus pygargus,Circus pygargus,8.4,0.5,1,Bruderer2001,,6.4,flapping,1
Circus pygargus,Circus pygargus,12.4,1.9,10,Bruderer2001,,13.9,gliding,1
Circus pygargus,Circus pygargus,10.7,2.1,23,Bruderer2001,,6.4,mixed,1
Columba livia,Columba livia,17.5,2,39,Bruderer2001,8.9,14.7,,
Columba palumbus,Columba palumbus,17.6,3.2,11,Bruderer2001,9.4,15.6,,
Corvus corax,Corvus corax,14.1,3.2,6,Bruderer2001,9.9,16.4,,
Corvus corone,Corvus corone,9.9,2,50,Bruderer2001,9,15.4,,
Corvus frugilegus,Corvus frugilegus,13,1.4,8,Bruderer2001,8.4,14.5,,
Corvus monedula,Corvus monedula,14.7,1.7,3,Bruderer2001,7.4,12.8,,
Corvus ruficollis,Corvus ruficollis,14.3,2.2,25,Bruderer2001,8.8,14.9,,
Cuculus canorus,Cuculus canorus,10.4,0,1,Bruderer2001,6.5,11.1,,
Cursorius cursor,Cursorius cursor,15.1,2.8,4,Bruderer2001,6.6,11.1,,
Delichon urbicum,Delichon urbicum,11,3.1,76,Bruderer2001,5,9.2,,
Ardea alba,Egretta alba,10.2,1.1,2,Bruderer2001,8.6,13.6,,
Elanus caeruleus,Elanus caeruleus,15.3,0,1,Bruderer2001,6.5,11,,
Emberiza hortulana,Emberiza hortulana,7.7,0,1,Bruderer2001,5.6,10.5,,
Erithacus rubecula,Erithacus rubecula,7.5,1.7,5,Bruderer2001,5.6,10.6,,
Falco biarmicus,Falco biarmicus,11.1,2.7,3,Bruderer2001,9.2,15.2,,
Falco concolor,Falco concolor,15.2,1.9,5,Bruderer2001,6.5,10.8,,
Falco eleonorae,Falco eleonorae,12.8,2.3,2,Bruderer2001,6.7,10,,
Falco naumanni,Falco naumanni,11.3,2.8,12,Bruderer2001,6.6,11.2,,
Falco peregrinus,Falco pelegrinoides,14.4,0.1,2,Bruderer2001,8.8,14.4,,
Falco peregrinus,Falco peregrinus,12.1,3.5,13,Bruderer2001,9.7,15.8,,
Falco subbuteo,Falco subbuteo,11.3,2.2,20,Bruderer2001,6.5,10.8,,
Falco tinnunculus,Falco tinnunculus,7.6,0,1,Bruderer2001,6.9,11.3,,
Falco tinnunculus,Falco tinnunculus,12.3,2.5,152,Bruderer2001,6.9,11.3,,
Falco vespertinus,Falco vespertinus,12.8,1,4,Bruderer2001,6.5,10.9,,
Ficedula hypoleuca,Ficedula hypoleuca,9.5,1.8,21,Bruderer2001,4.8,9.1,,
Fringilla coelebs,Fringilla coelebs,12.8,2.4,52,Bruderer2001,5.3,10,,
Fringilla montifringilla,Fringilla montifringilla,11.6,0.2,2,Bruderer2001,5.5,10.3,,
Gallinago gallinago,Gallinago gallinago,15.5,0,1,Bruderer2001,7.1,11.7,,
Garrulus glandarius,Garrulus glandarius,12.9,3.8,2,Bruderer2001,7.6,13.6,,
Glareola nordmanni,Glareola nordmanni,11.3,1.9,4,Bruderer2001,5.8,9.9,,
Glareola pratincola,Glareola pratincola,12.1,1.6,8,Bruderer2001,5.4,9.4,,
Grus grus,Grus grus,13.6,0,1,Bruderer2001,,12.6,flapping,1
Grus grus,Grus grus,14.5,1.6,14,Bruderer2001,,12.6,mixed,1
Gyps fulvus,Gyps fulvus,16,2.6,77,Bruderer2001,,21.2,gliding,1
Gyps fulvus,Gyps fulvus,16.5,2.2,23,Bruderer2001,,13.3,mixed,1
Haliaeetus albicilla,Haliaeetus albicilla,13.1,0,1,Bruderer2001,,12.8,mixed,1
Aquila fasciata,Hieraaetus fasciatus,11,2.2,2,Bruderer2001,,18.6,gliding,1
Aquila fasciata,Hieraaetus fasciatus,14,1.5,2,Bruderer2001,,10.9,mixed,1
Hieraaetus pennatus,Hieraaetus pennatus,11.3,1.7,2,Bruderer2001,,9.4,flapping,1
Hieraaetus pennatus,Hieraaetus pennatus,13.8,2.7,25,Bruderer2001,,15.9,gliding,1
Hieraaetus pennatus,Hieraaetus pennatus,12.5,3.1,21,Bruderer2001,,9.4,mixed,1
Hippolais icterina,Hippolais icterina,6.7,1.8,1,Bruderer2001,5.1,9.4,,
Hippolais polyglotta,Hippolais polyglotta,5.7,0,1,Bruderer2001,5.1,9.6,,
Hirundo daurica,Hirundo daurica,11.6,2,3,Bruderer2001,4.9,9.1,,
Hirundo rustica,Hirundo rustica,11.3,2.9,108,Bruderer2001,4.8,8.8,,
Lanius collurio,Lanius collurio,12.9,2.7,5,Bruderer2001,6.1,11.5,,
Larus cachinnans,Larus cachinnans,14,2.8,239,Bruderer2001,9.3,14.8,,
Larus canus,Larus canus,11.1,0,1,Bruderer2001,6.8,10.8,,
Larus fuscus,Larus fuscus,11.9,2.2,11,Bruderer2001,8.1,13.3,,
Larus ridibundus,Larus ridibundus,11.2,3,15,Bruderer2001,6.5,10.4,,
Lullula arborea,Lullula arborea,9.8,0,1,Bruderer2001,5.6,10.5,,
Mergus merganser,Mergus merganser,21.2,0,1,Bruderer2001,13.1,20,,
Merops apiaster,Merops apiaster,12.2,2.6,28,Bruderer2001,5.2,9.1,,
Milvus migrans,Milvus migrans,13.3,2.3,60,Bruderer2001,,16.1,gliding,1
Milvus migrans,Milvus migrans,11.7,1.3,7,Bruderer2001,,7.7,flapping,1
Milvus migrans,Milvus migrans,12.1,2.9,49,Bruderer2001,,7.7,mixed,1
Milvus migrans,Milvus migrans,11.5,1.3,2,Bruderer2001,7.7,12.3,,
Milvus milvus,Milvus milvus,14.8,0.9,3,Bruderer2001,,16.5,gliding,1
Milvus milvus,Milvus milvus,10.1,2.3,19,Bruderer2001,,8.2,mixed,1
Monticola saxatilis,Monticola saxatilis,15.5,0,1,Bruderer2001,6.2,11.1,,
Motacilla alba,Motacilla alba,13,1.6,13,Bruderer2001,5.3,9.8,,
Motacilla flava,Motacilla flava,12.7,1.8,7,Bruderer2001,5.1,9.5,,
Motacilla flava,Motacilla flava,6.1,0.8,5,Bruderer2001,5.1,9.5,,
Motacilla flava,Motacilla flava,11.9,1.2,4,Bruderer2001,5.1,9.5,,
Muscicapa striata,Muscicapa striata,13.4,0.8,4,Bruderer2001,5,9.5,,
Neophron percnopterus,Neophron percnopterus,12.6,2.5,3,Bruderer2001,,10.6,flapping,1
Neophron percnopterus,Neophron percnopterus,15.6,2.3,93,Bruderer2001,,18.3,gliding,1
Neophron percnopterus,Neophron percnopterus,15.7,1.9,19,Bruderer2001,,10.6,mixed,1
Neophron percnopterus,Neophron percnopterus,10.5,0,1,Bruderer2001,10.6,17.1,,
Numenius arquata,Numenius arquata,13.2,1.2,2,Bruderer2001,10.3,17,,
Nycticorax nycticorax,Nycticorax nycticorax,11.2,0.5,4,Bruderer2001,8.3,13.7,,
Oenanthe oenanthe,Oenanthe oenanthe,12.8,0,1,Bruderer2001,5.4,9.9,,
Oenanthe oenanthe,Oenanthe oenanthe,13.1,1.2,2,Bruderer2001,5.4,9.9,,
Pandion haliaetus,Pandion haliaetus,12.5,1.7,11,Bruderer2001,,17.6,gliding,1
Pandion haliaetus,Pandion haliaetus,11.4,1.6,10,Bruderer2001,10,16.2,,
Pandion haliaetus,Pandion haliaetus,11.4,1.6,10,Bruderer2001,,10,flapping,1
Pandion haliaetus,Pandion haliaetus,13.7,2.6,21,Bruderer2001,,10,mixed,1
Parus major,Parus major,13.6,0,1,Bruderer2001,5.5,10.2,,
Pelecanus onocrotalus,Pelecanus onocrotalus,15.6,0,1,Bruderer2001,,13.6,flapping,1
Pelecanus onocrotalus,Pelecanus onocrotalus,16,1.7,5,Bruderer2001,,13.6,mixed,1
Pernis apivorus,Pernis apivorus,10.2,1.5,16,Bruderer2001,9,15,,
Pernis apivorus,Pernis apivorus,14.2,2.6,234,Bruderer2001,,16.5,gliding,1
Pernis apivorus,Pernis apivorus,10.1,1.5,15,Bruderer2001,,9,flapping,1
Pernis apivorus,Pernis apivorus,12.1,2.9,125,Bruderer2001,,9,mixed,1
Phalacrocorax carbo,Phalacrocorax carbo,16.7,3.3,2,Bruderer2001,13.5,21.4,,
Calidris pugnax,Philomachus pugnax,13.6,1.2,3,Bruderer2001,7.4,12.6,,
