Species_original,Sex,Adult_Juvenile,BirdTree_WJSpecID,Species_BirdTree,Species_IOC13.1,Order_IOC13.1,Family_IOC13.1,English.name_IOC13.1,Multiling_IOC13.1_Japanese,N_studies,body.mass_g,wingspan_m,wing.area_m2,ref,def_span,def_area
Ciconia nigra,NA,NA,5364,Ciconia nigra,Ciconia nigra,CICONIIFORMES,Ciconiidae,Black Stork,ナベコウ,4,2926,1.805,0.49137,Vágási 2016,A-II,A-II
Columba livia,NA,NA,3315,Columba livia,Columba livia,COLUMBIFORMES,Columbidae,Rock Dove,カワラバト,5,354.5,0.6625,0.0701075,Vágási 2016,A-II,A-II
Streptopelia decaocto,NA,NA,3391,Streptopelia decaocto,Streptopelia decaocto,COLUMBIFORMES,Columbidae,Eurasian Collared Dove,シラコバト,2,149,0.49875,0.0472825,Vágási 2016,A-II,A-II
Alcedo atthis,NA,NA,1546,Alcedo atthis,Alcedo atthis,CORACIIFORMES,Alcedinidae,Common Kingfisher,カワセミ,3,35.8,0.278285714,0.012795714,Vágási 2016,A-II,A-II
Coracias garrulus,NA,NA,1488,Coracias garrulus,Coracias garrulus,CORACIIFORMES,Coraciidae,European Roller,ニシブッポウソウ,3,146,0.65775,0.066075,Vágási 2016,A-II,A-II
Merops apiaster,NA,NA,1674,Merops apiaster,Merops apiaster,CORACIIFORMES,Meropidae,European Bee-eater,ヨーロッパハチクイ,4,56.6,0.452714286,0.028277143,Vágási 2016,A-II,A-II
Cuculus canorus,NA,NA,1747,Cuculus canorus,Cuculus canorus,CUCULIFORMES,Cuculidae,Common Cuckoo,カッコウ,4,111.5,0.631,0.0612,Vágási 2016,A-II,A-II
Falco cherrug,NA,NA,4976,Falco cherrug,Falco cherrug,FALCONIFORMES,Falconidae,Saker Falcon,ワキスジハヤブサ,2,966,1.078,0.16057,Vágási 2016,A-II,A-II
Falco peregrinus,NA,NA,4980,Falco peregrinus,Falco peregrinus,FALCONIFORMES,Falconidae,Peregrine Falcon,ハヤブサ,6,697.5,1.1155,0.155345,Vágási 2016,A-II,A-II
Falco subbuteo,NA,NA,4967,Falco subbuteo,Falco subbuteo,FALCONIFORMES,Falconidae,Eurasian Hobby,チゴハヤブサ,7,209.5,0.742,0.07524,Vágási 2016,A-II,A-II
Falco tinnunculus,NA,NA,4941,Falco tinnunculus,Falco tinnunculus,FALCONIFORMES,Falconidae,Common Kestrel,チョウゲンボウ,8,184,0.753545455,0.084679091,Vágási 2016,A-II,A-II
Falco vespertinus,NA,NA,4957,Falco vespertinus,Falco vespertinus,FALCONIFORMES,Falconidae,Red-footed Falcon,ニシアカアシチョウゲンボウ,4,152.5,0.725,0.06696,Vágási 2016,A-II,A-II
Perdix perdix,NA,NA,294,Perdix perdix,Perdix perdix,GALLIFORMES,Phasianidae,Grey Partridge,ヨーロッパヤマウズラ,4,405.5,0.519333333,0.051436667,Vágási 2016,A-II,A-II
Phasianus colchicus,NA,NA,393,Phasianus colchicus,Phasianus colchicus,GALLIFORMES,Phasianidae,Common Pheasant,コウライキジ,5,1135,0.8098,0.144726,Vágási 2016,A-II,A-II
Tetrastes bonasia,NA,NA,432,Bonasa bonasia,Tetrastes bonasia,GALLIFORMES,Phasianidae,Hazel Grouse,エゾライチョウ,2,429,0.538,0.05833,Vágási 2016,A-II,A-II
Gavia arctica,NA,NA,5442,Gavia arctica,Gavia arctica,GAVIIFORMES,Gaviidae,Black-throated Loon,オオハム,4,3079.5,1.254,0.16986,Vágási 2016,A-II,A-II
Crex crex,NA,NA,3862,Crex crex,Crex crex,GRUIFORMES,Rallidae,Corn Crake,ウズラクイナ,2,155.5,0.4794,0.040716,Vágási 2016,A-II,A-II
Fulica atra,NA,NA,3939,Fulica atra,Fulica atra,GRUIFORMES,Rallidae,Eurasian Coot,オオバン,4,836,0.7635,0.09026,Vágási 2016,A-II,A-II
Gallinula chloropus,NA,NA,3931,Gallinula chloropus,Gallinula chloropus,GRUIFORMES,Rallidae,Common Moorhen,バン,3,305,0.56,0.05137,Vágási 2016,A-II,A-II
Porzana porzana,NA,NA,3888,Porzana porzana,Porzana porzana,GRUIFORMES,Rallidae,Spotted Crake,コモンクイナ,4,87.1,0.404,0.02774,Vágási 2016,A-II,A-II
Rallus aquaticus,NA,NA,3853,Rallus aquaticus,Rallus aquaticus,GRUIFORMES,Rallidae,Water Rail,ヨーロッパクイナ,3,111.5,0.412333333,0.03347,Vágási 2016,A-II,A-II
Porzana parva,NA,NA,3884,Porzana parva,Zapornia parva,GRUIFORMES,Rallidae,Little Crake,コクイナ,1,49.7,0.296,0.0136,Vágási 2016,A-II,A-II
Acrocephalus arundinaceus,NA,NA,10802,Acrocephalus arundinaceus,Acrocephalus arundinaceus,PASSERIFORMES,Acrocephalidae,Great Reed Warbler,ニシオオヨシキリ,4,30,0.2958,0.017084,Vágási 2016,A-II,A-II
Acrocephalus palustris,NA,NA,10801,Acrocephalus palustris,Acrocephalus palustris,PASSERIFORMES,Acrocephalidae,Marsh Warbler,ヌマヨシキリ,4,11.5,0.2084,0.008084,Vágási 2016,A-II,A-II
Acrocephalus schoenobaenus,NA,NA,10791,Acrocephalus schoenobaenus,Acrocephalus schoenobaenus,PASSERIFORMES,Acrocephalidae,Sedge Warbler,スゲヨシキリ,3,11.2,0.2018,0.00827,Vágási 2016,A-II,A-II
Acrocephalus scirpaceus,NA,NA,10797,Acrocephalus scirpaceus,Acrocephalus scirpaceus,PASSERIFORMES,Acrocephalidae,Common Reed Warbler,ヨーロッパヨシキリ,3,12.3,0.20025,0.00831,Vágási 2016,A-II,A-II
Hippolais icterina,NA,NA,10842,Hippolais icterina,Hippolais icterina,PASSERIFORMES,Acrocephalidae,Icterine Warbler,キイロウタイムシクイ,3,13.2,0.235,0.011012,Vágási 2016,A-II,A-II
Aegithalos caudatus,NA,NA,9964,Aegithalos caudatus,Aegithalos caudatus,PASSERIFORMES,Aegithalidae,Long-tailed Tit,エナガ,4,8.6,0.180375,0.00729375,Vágási 2016,A-II,A-II
Alauda arvensis,NA,NA,11529,Alauda arvensis,Alauda arvensis,PASSERIFORMES,Alaudidae,Eurasian Skylark,ヒバリ,6,39.95,0.364,0.02443,Vágási 2016,A-II,A-II
Galerida cristata,NA,NA,11518,Galerida cristata,Galerida cristata,PASSERIFORMES,Alaudidae,Crested Lark,カンムリヒバリ,3,42.83,0.353,0.02399,Vágási 2016,A-II,A-II
Bombycilla garrulus,NA,NA,8766,Bombycilla garrulus,Bombycilla garrulus,PASSERIFORMES,Bombycillidae,Bohemian Waxwing,キレンジャク,2,54.45,0.35,0.020075,Vágási 2016,A-II,A-II
Certhia familiaris,NA,NA,9655,Certhia familiaris,Certhia familiaris,PASSERIFORMES,Certhiidae,Eurasian Treecreeper,キバシリ,4,9,0.1975,0.008915,Vágási 2016,A-II,A-II
Cinclus cinclus,NA,NA,8772,Cinclus cinclus,Cinclus cinclus,PASSERIFORMES,Cinclidae,White-throated Dipper,ムナジロカワガラス,2,61.7,0.283,0.014326667,Vágási 2016,A-II,A-II
Coloeus monedula,NA,NA,8073,Corvus monedula,Coloeus monedula,PASSERIFORMES,Corvidae,Western Jackdaw,ニシコクマルガラス,1,246,0.6636,0.072668,Vágási 2016,A-II,A-II
Corvus cornix,NA,NA,8101,Corvus corone,Corvus cornix,PASSERIFORMES,Corvidae,Hooded Crow,ズキンガラス,4,570,0.9075,0.1479,Vágási 2016,A-II,A-II
Corvus frugilegus,NA,NA,8090,Corvus frugilegus,Corvus frugilegus,PASSERIFORMES,Corvidae,Rook,ミヤマガラス,5,453.5,0.868,0.12889,Vágási 2016,A-II,A-II
Garrulus glandarius,NA,NA,8023,Garrulus glandarius,Garrulus glandarius,PASSERIFORMES,Corvidae,Eurasian Jay,カケス,7,168,0.534333333,0.065982222,Vágási 2016,A-II,A-II
Pica pica,NA,NA,8057,Pica pica,Pica pica,PASSERIFORMES,Corvidae,Eurasian Magpie,ユーラシアカササギ,4,206,0.5528,0.068088,Vágási 2016,A-II,A-II
Emberiza calandra,NA,NA,12502,Miliaria calandra,Emberiza calandra,PASSERIFORMES,Emberizidae,Corn Bunting,ハタホオジロ,1,48.75,0.297,0.01781,Vágási 2016,A-II,A-II
Emberiza cia,NA,NA,12469,Emberiza cia,Emberiza cia,PASSERIFORMES,Emberizidae,Rock Bunting,ヒゲホオジロ,3,23.45,0.262666667,0.01514,Vágási 2016,A-II,A-II
Emberiza citrinella,NA,NA,12464,Emberiza citrinella,Emberiza citrinella,PASSERIFORMES,Emberizidae,Yellowhammer,キアオジ,4,29.7,0.29,0.017565,Vágási 2016,A-II,A-II
Emberiza hortulana,NA,NA,12475,Emberiza hortulana,Emberiza hortulana,PASSERIFORMES,Emberizidae,Ortolan Bunting,ズアオホオジロ,4,19.9,0.262,0.01401,Vágási 2016,A-II,A-II
Emberiza schoeniclus,NA,NA,12500,Emberiza schoeniclus,Emberiza schoeniclus,PASSERIFORMES,Emberizidae,Common Reed Bunting,オオジュリン,4,18.45,0.24675,0.0134775,Vágási 2016,A-II,A-II
Carduelis carduelis,NA,NA,12336,Carduelis carduelis,Carduelis carduelis,PASSERIFORMES,Fringillidae,European Goldfinch,ゴシキヒワ,6,16,0.2315,0.010268333,Vágási 2016,A-II,A-II
Carpodacus erythrinus,NA,NA,12366,Carpodacus erythrinus,Carpodacus erythrinus,PASSERIFORMES,Fringillidae,Common Rosefinch,アカマシコ,2,24,0.25975,0.0126825,Vágási 2016,A-II,A-II
Coccothraustes coccothraustes,NA,NA,12410,Coccothraustes coccothraustes,Coccothraustes coccothraustes,PASSERIFORMES,Fringillidae,Hawfinch,シメ,4,56.65,0.3222,0.018866,Vágási 2016,A-II,A-II
Fringilla coelebs,NA,NA,12245,Fringilla coelebs,Fringilla coelebs,PASSERIFORMES,Fringillidae,Common Chaffinch,ズアオアトリ,6,23.97,0.2768,0.015272,Vágási 2016,A-II,A-II
Fringilla montifringilla,NA,NA,12248,Fringilla montifringilla,Fringilla montifringilla,PASSERIFORMES,Fringillidae,Brambling,アトリ,6,23.2,0.277428571,0.014532857,Vágási 2016,A-II,A-II
Linaria cannabina,NA,NA,12348,Carduelis cannabina,Linaria cannabina,PASSERIFORMES,Fringillidae,Common Linnet,ムネアカヒワ,1,19.55,0.253,0.0116925,Vágási 2016,A-II,A-II
Loxia curvirostra,NA,NA,12392,Loxia curvirostra,Loxia curvirostra,PASSERIFORMES,Fringillidae,Red Crossbill,イスカ,3,40.6,0.278,0.01326,Vágási 2016,A-II,A-II
Pyrrhula pyrrhula,NA,NA,12404,Pyrrhula pyrrhula,Pyrrhula pyrrhula,PASSERIFORMES,Fringillidae,Eurasian Bullfinch,ウソ,5,21.8,0.271666667,0.01496,Vágási 2016,A-II,A-II
Serinus serinus,NA,NA,12253,Serinus serinus,Serinus serinus,PASSERIFORMES,Fringillidae,European Serin,セリン,3,11.2,0.225,0.01031,Vágási 2016,A-II,A-II
Spinus spinus,NA,NA,12317,Carduelis spinus,Spinus spinus,PASSERIFORMES,Fringillidae,Eurasian Siskin,マヒワ,2,13.25,0.2159,0.008279,Vágási 2016,A-II,A-II
Cecropis daurica,NA,NA,10107,Hirundo daurica,Cecropis daurica,PASSERIFORMES,Hirundinidae,Red-rumped Swallow,コシアカツバメ,2,22.2,0.335666667,0.017221667,Vágási 2016,A-II,A-II
Delichon urbicum,NA,NA,10137,Delichon urbicum,Delichon urbicum,PASSERIFORMES,Hirundinidae,Common House Martin,ニシイワツバメ,2,14.5,0.288,0.0118,Vágási 2016,A-II,A-II
Hirundo rustica,NA,NA,10074,Hirundo rustica,Hirundo rustica,PASSERIFORMES,Hirundinidae,Barn Swallow,ツバメ,7,17.98,0.321285714,0.015604286,Vágási 2016,A-II,A-II
Riparia riparia,NA,NA,10052,Riparia riparia,Riparia riparia,PASSERIFORMES,Hirundinidae,Sand Martin,ショウドウツバメ,5,12.73,0.2824,0.011736,Vágási 2016,A-II,A-II
Lanius collurio,NA,NA,7706,Lanius collurio,Lanius collurio,PASSERIFORMES,Laniidae,Red-backed Shrike,セアカモズ,5,28.45,0.285,0.014934,Vágási 2016,A-II,A-II
Lanius minor,NA,NA,7718,Lanius minor,Lanius minor,PASSERIFORMES,Laniidae,Lesser Grey Shrike,ヒメオオモズ,2,46.5,0.359666667,0.022003333,Vágási 2016,A-II,A-II
Locustella luscinioides,NA,NA,10780,Locustella luscinioides,Locustella luscinioides,PASSERIFORMES,Locustellidae,Savi's Warbler,ヌマセンニュウ,2,13.9,0.208857143,0.008101429,Vágási 2016,A-II,A-II
Anthus campestris,NA,NA,11864,Anthus campestris,Anthus campestris,PASSERIFORMES,Motacillidae,Tawny Pipit,ムジタヒバリ,2,23,0.305,0.017783333,Vágási 2016,A-II,A-II
Anthus spinoletta,NA,NA,11884,Anthus spinoletta,Anthus spinoletta,PASSERIFORMES,Motacillidae,Water Pipit,ヒガシヨーロッパタヒバリ,5,23.9,0.288,0.016425,Vágási 2016,A-II,A-II
Anthus trivialis,NA,NA,11876,Anthus trivialis,Anthus trivialis,PASSERIFORMES,Motacillidae,Tree Pipit,ヨーロッパビンズイ,5,23.4,0.277666667,0.014803333,Vágási 2016,A-II,A-II
Motacilla alba,NA,NA,11802,Motacilla alba,Motacilla alba,PASSERIFORMES,Motacillidae,White Wagtail,ハクセキレイ,6,21,0.26925,0.013275,Vágási 2016,A-II,A-II
Motacilla cinerea,NA,NA,11828,Motacilla cinerea,Motacilla cinerea,PASSERIFORMES,Motacillidae,Grey Wagtail,キセキレイ,4,17.6,0.251,0.01139125,Vágási 2016,A-II,A-II
Motacilla flava,NA,NA,11815,Motacilla flava,Motacilla flava,PASSERIFORMES,Motacillidae,Western Yellow Wagtail,ニシツメナガセキレイ,5,17.6,0.263,0.0127,Vágási 2016,A-II,A-II
Erithacus rubecula,NA,NA,9206,Erithacus rubecula,Erithacus rubecula,PASSERIFORMES,Muscicapidae,European Robin,ヨーロッパコマドリ,4,17.7,0.224166667,0.011048333,Vágási 2016,A-II,A-II
Ficedula albicollis,NA,NA,9107,Ficedula albicollis,Ficedula albicollis,PASSERIFORMES,Muscicapidae,Collared Flycatcher,シロエリヒタキ,2,12.7,0.243666667,0.0111,Vágási 2016,A-II,A-II
Ficedula hypoleuca,NA,NA,9105,Ficedula hypoleuca,Ficedula hypoleuca,PASSERIFORMES,Muscicapidae,European Pied Flycatcher,マダラヒタキ,4,13.9,0.232166667,0.01037,Vágási 2016,A-II,A-II
Luscinia luscinia,NA,NA,9212,Luscinia luscinia,Luscinia luscinia,PASSERIFORMES,Muscicapidae,Thrush Nightingale,ヤブサヨナキドリ,2,23.8,0.272,0.013526667,Vágási 2016,A-II,A-II
Luscinia megarhynchos,NA,NA,9213,Luscinia megarhynchos,Luscinia megarhynchos,PASSERIFORMES,Muscicapidae,Common Nightingale,サヨナキドリ,5,18.3,0.265714286,0.013592857,Vágási 2016,A-II,A-II
Muscicapa striata,NA,NA,9073,Muscicapa striata,Muscicapa striata,PASSERIFORMES,Muscicapidae,Spotted Flycatcher,ムナフヒタキ,4,15.9,0.266428571,0.013565714,Vágási 2016,A-II,A-II
Oenanthe oenanthe,NA,NA,9353,Oenanthe oenanthe,Oenanthe oenanthe,PASSERIFORMES,Muscicapidae,Northern Wheatear,ハシグロヒタキ,6,25.63,0.2895,0.01504,Vágási 2016,A-II,A-II
Oenanthe pleschanka,NA,NA,9364,Oenanthe pleschanka,Oenanthe pleschanka,PASSERIFORMES,Muscicapidae,Pied Wheatear,セグロサバクヒタキ,2,19.4,0.28675,0.0154175,Vágási 2016,A-II,A-II
Phoenicurus ochruros,NA,NA,9291,Phoenicurus ochruros,Phoenicurus ochruros,PASSERIFORMES,Muscicapidae,Black Redstart,クロジョウビタキ,3,16.5,0.256166667,0.013791667,Vágási 2016,A-II,A-II
Phoenicurus phoenicurus,NA,NA,9292,Phoenicurus phoenicurus,Phoenicurus phoenicurus,PASSERIFORMES,Muscicapidae,Common Redstart,シロビタイジョウビタキ,6,14.6,0.235,0.01109,Vágási 2016,A-II,A-II
Saxicola rubetra,NA,NA,9328,Saxicola rubetra,Saxicola rubetra,PASSERIFORMES,Muscicapidae,Whinchat,マミジロノビタキ,3,16.6,0.244222222,0.011458889,Vágási 2016,A-II,A-II
Saxicola rubicola,NA,NA,9332,Saxicola torquatus,Saxicola rubicola,PASSERIFORMES,Muscicapidae,European Stonechat,ヨーロッパノビタキ,2,15.3,0.21025,0.0090225,Vágási 2016,A-II,A-II
Oriolus oriolus,NA,NA,8269,Oriolus oriolus,Oriolus oriolus,PASSERIFORMES,Oriolidae,Eurasian Golden Oriole,ニシコウライウグイス,3,79,0.39,0.0272,Vágási 2016,A-II,A-II
Panurus biarmicus,NA,NA,11347,Panurus biarmicus,Panurus biarmicus,PASSERIFORMES,Panuridae,Bearded Reedling,ヒゲガラ,2,13.85,0.191,0.00763,Vágási 2016,A-II,A-II
Cyanistes caeruleus,NA,NA,9936,Parus caeruleus,Cyanistes caeruleus,PASSERIFORMES,Paridae,Eurasian Blue Tit,アオガラ,2,10.6,0.206333333,0.009535,Vágási 2016,A-II,A-II
Parus major,NA,NA,9922,Parus major,Parus major,PASSERIFORMES,Paridae,Great Tit,ヨーロッパシジュウカラ,5,18.25,0.231166667,0.011983333,Vágási 2016,A-II,A-II
Periparus ater,NA,NA,9896,Parus ater,Periparus ater,PASSERIFORMES,Paridae,Coal Tit,ヒガラ,2,9.2,0.188833333,0.008078333,Vágási 2016,A-II,A-II
Poecile palustris,NA,NA,9870,Parus palustris,Poecile palustris,PASSERIFORMES,Paridae,Marsh Tit,ハシブトガラ,2,10.9,0.201375,0.00914,Vágási 2016,A-II,A-II
Passer domesticus,NA,NA,11753,Passer domesticus,Passer domesticus,PASSERIFORMES,Passeridae,House Sparrow,イエスズメ,4,27.7,0.239,0.01235,Vágási 2016,A-II,A-II
Passer hispaniolensis,NA,NA,11758,Passer hispaniolensis,Passer hispaniolensis,PASSERIFORMES,Passeridae,Spanish Sparrow,スペインスズメ,2,24.2,0.259,0.012406,Vágási 2016,A-II,A-II
Passer montanus,NA,NA,11778,Passer montanus,Passer montanus,PASSERIFORMES,Passeridae,Eurasian Tree Sparrow,スズメ,3,20.8,0.21425,0.0095375,Vágási 2016,A-II,A-II
Phylloscopus collybita,NA,NA,10929,Phylloscopus collybita,Phylloscopus collybita,PASSERIFORMES,Phylloscopidae,Common Chiffchaff,チフチャフ,3,8.3,0.185,0.00746,Vágási 2016,A-II,A-II
Phylloscopus sibilatrix,NA,NA,10941,Phylloscopus sibilatrix,Phylloscopus sibilatrix,PASSERIFORMES,Phylloscopidae,Wood Warbler,モリムシクイ,2,9.2,0.2266,0.009652,Vágási 2016,A-II,A-II
Phylloscopus trochilus,NA,NA,10927,Phylloscopus trochilus,Phylloscopus trochilus,PASSERIFORMES,Phylloscopidae,Willow Warbler,キタヤナギムシクイ,4,8.7,0.205,0.008576667,Vágási 2016,A-II,A-II
Prunella modularis,NA,NA,11910,Prunella modularis,Prunella modularis,PASSERIFORMES,Prunellidae,Dunnock,ヨーロッパカヤクグリ,6,20.25,0.2165,0.010285,Vágási 2016,A-II,A-II
Regulus ignicapilla,NA,NA,10162,Regulus ignicapilla,Regulus ignicapilla,PASSERIFORMES,Regulidae,Common Firecrest,マミジロキクイタダキ,2,5.6,0.15,0.00489,Vágási 2016,A-II,A-II
Regulus regulus,NA,NA,10159,Regulus regulus,Regulus regulus,PASSERIFORMES,Regulidae,Goldcrest,キクイタダキ,5,5.55,0.16,0.00589,Vágási 2016,A-II,A-II
Remiz pendulinus,NA,NA,9818,Remiz pendulinus,Remiz pendulinus,PASSERIFORMES,Remizidae,Eurasian Penduline Tit,ニシツリスガラ,2,9.3,0.179,0.00689,Vágási 2016,A-II,A-II
Sitta europaea,NA,NA,9616,Sitta europaea,Sitta europaea,PASSERIFORMES,Sittidae,Eurasian Nuthatch,ゴジュウカラ,3,22.6,0.268285714,0.014752857,Vágási 2016,A-II,A-II
Pastor roseus,NA,NA,9509,Sturnus roseus,Pastor roseus,PASSERIFORMES,Sturnidae,Rosy Starling,バライロムクドリ,1,73.25,0.376,0.02431,Vágási 2016,A-II,A-II
Sturnus vulgaris,NA,NA,9510,Sturnus vulgaris,Sturnus vulgaris,PASSERIFORMES,Sturnidae,Common Starling,ホシムクドリ,7,86,0.423666667,0.028223333,Vágási 2016,A-II,A-II
Sylvia communis,NA,NA,11385,Sylvia communis,Curruca communis,PASSERIFORMES,Sylviidae,Common Whitethroat,ノドジロムシクイ,4,15.1,0.23,0.010806667,Vágási 2016,A-II,A-II
Sylvia curruca,NA,NA,11386,Sylvia curruca,Curruca curruca,PASSERIFORMES,Sylviidae,Lesser Whitethroat,コノドジロムシクイ,3,11.1,0.204,0.008964,Vágási 2016,A-II,A-II
Sylvia nisoria,NA,NA,11391,Sylvia nisoria,Curruca nisoria,PASSERIFORMES,Sylviidae,Barred Warbler,シマムシクイ,2,22.5,0.265,0.01374,Vágási 2016,A-II,A-II
Sylvia atricapilla,NA,NA,11383,Sylvia atricapilla,Sylvia atricapilla,PASSERIFORMES,Sylviidae,Eurasian Blackcap,ズグロムシクイ,5,16.7,0.2412,0.011066,Vágási 2016,A-II,A-II
Sylvia borin,NA,NA,11384,Sylvia borin,Sylvia borin,PASSERIFORMES,Sylviidae,Garden Warbler,ニワムシクイ,3,18.2,0.243,0.01091,Vágási 2016,A-II,A-II
Troglodytes troglodytes,NA,NA,9750,Troglodytes troglodytes,Troglodytes troglodytes,PASSERIFORMES,Troglodytidae,Eurasian Wren,ミソサザイ,4,9.6,0.158555556,0.005598889,Vágási 2016,A-II,A-II
Turdus merula,NA,NA,8941,Turdus merula,Turdus merula,PASSERIFORMES,Turdidae,Common Blackbird,ニシクロウタドリ,5,113,0.383,0.030415,Vágási 2016,A-II,A-II
Turdus philomelos,NA,NA,8965,Turdus philomelos,Turdus philomelos,PASSERIFORMES,Turdidae,Song Thrush,ウタツグミ,6,67.75,0.37,0.02511,Vágási 2016,A-II,A-II
Turdus pilaris,NA,NA,8963,Turdus pilaris,Turdus pilaris,PASSERIFORMES,Turdidae,Fieldfare,ノハラツグミ,7,106,0.3604,0.035414,Vágási 2016,A-II,A-II
Ardea alba,NA,NA,5230,Casmerodius albus,Ardea alba,PELECANIFORMES,Ardeidae,Great Egret,ダイサギ,2,873.5,1.658,0.43565,Vágási 2016,A-II,A-II
Ardea cinerea,NA,NA,5209,Ardea cinerea,Ardea cinerea,PELECANIFORMES,Ardeidae,Grey Heron,アオサギ,6,1443,1.665,0.41411,Vágási 2016,A-II,A-II
Botaurus stellaris,NA,NA,5174,Botaurus stellaris,Botaurus stellaris,PELECANIFORMES,Ardeidae,Eurasian Bittern,サンカノゴイ,5,1324.5,1.246,0.24287,Vágási 2016,A-II,A-II
Ixobrychus minutus,NA,NA,5162,Ixobrychus minutus,Ixobrychus minutus,PELECANIFORMES,Ardeidae,Little Bittern,ヒメヨシゴイ,2,118,0.5202,0.044016,Vágási 2016,A-II,A-II
Dendrocopos major,NA,NA,950,Dendrocopos major,Dendrocopos major,PICIFORMES,Picidae,Great Spotted Woodpecker,アカゲラ,3,76.77,0.4398,0.03878,Vágási 2016,A-II,A-II
Dryocopus martius,NA,NA,1026,Dryocopus martius,Dryocopus martius,PICIFORMES,Picidae,Black Woodpecker,クマゲラ,2,321,0.728,0.108795,Vágási 2016,A-II,A-II
Jynx torquilla,NA,NA,838,Jynx torquilla,Jynx torquilla,PICIFORMES,Picidae,Eurasian Wryneck,アリスイ,6,35,0.2926,0.015634,Vágási 2016,A-II,A-II
Picus canus,NA,NA,1054,Picus canus,Picus canus,PICIFORMES,Picidae,Grey-headed Woodpecker,ヤマゲラ,2,137,0.4485,0.04155,Vágási 2016,A-II,A-II
Picus viridis,NA,NA,1048,Picus viridis,Picus viridis,PICIFORMES,Picidae,European Green Woodpecker,ヨーロッパアオゲラ,3,176,0.509666667,0.053733333,Vágási 2016,A-II,A-II
Podiceps cristatus,NA,NA,5012,Podiceps cristatus,Podiceps cristatus,PODICIPEDIFORMES,Podicipedidae,Great Crested Grebe,カンムリカイツブリ,4,673.5,0.749,0.06826,Vágási 2016,A-II,A-II
Asio flammeus,NA,NA,3111,Asio flammeus,Asio flammeus,STRIGIFORMES,Strigidae,Short-eared Owl,コミミズク,4,325,1.063,0.16382,Vágási 2016,A-II,A-II
Asio otus,NA,NA,3106,Asio otus,Asio otus,STRIGIFORMES,Strigidae,Long-eared Owl,トラフズク,6,299,0.9391875,0.137246875,Vágási 2016,A-II,A-II
Athene noctua,NA,NA,3069,Athene noctua,Athene noctua,STRIGIFORMES,Strigidae,Little Owl,コキンメフクロウ,3,164,0.576666667,0.061135,Vágási 2016,A-II,A-II
Bubo bubo,NA,NA,2962,Bubo bubo,Bubo bubo,STRIGIFORMES,Strigidae,Eurasian Eagle-Owl,ワシミミズク,3,2686,1.359,0.39314,Vágási 2016,A-II,A-II
Otus scops,NA,NA,2906,Otus scops,Otus scops,STRIGIFORMES,Strigidae,Eurasian Scops Owl,ヨーロッパコノハズク,3,92,0.530666667,0.04908,Vágási 2016,A-II,A-II
Strix aluco,NA,NA,2990,Strix aluco,Strix aluco,STRIGIFORMES,Strigidae,Tawny Owl,モリフクロウ,3,475,0.965666667,0.19799,Vágási 2016,A-II,A-II
Strix uralensis,NA,NA,3002,Strix uralensis,Strix uralensis,STRIGIFORMES,Strigidae,Ural Owl,フクロウ,3,784.5,1.186666667,0.304223333,Vágási 2016,A-II,A-II
Tyto alba,NA,NA,2878,Tyto alba,Tyto alba,STRIGIFORMES,Tytonidae,Western Barn Owl,メンフクロウ,5,350,0.971666667,0.145163333,Vágási 2016,A-II,A-II
Phalacrocorax carbo,NA,NA,5094,Phalacrocorax carbo,Phalacrocorax carbo,SULIFORMES,Phalacrocoracidae,Great Cormorant,カワウ,7,2109.5,1.33025,0.25041,Vágási 2016,A-II,A-II
Accipiter gentilis,NA,NA,4767,Accipiter gentilis,Accipiter gentilis,ACCIPITRIFORMES,Accipitridae,Northern Goshawk,オオタカ,4,934.75,0.960625,0.1722975,Vágási 2016,B-II,B-II
Accipiter nisus,NA,NA,4753,Accipiter nisus,Accipiter nisus,ACCIPITRIFORMES,Accipitridae,Eurasian Sparrowhawk,ハイタカ,5,237.5,0.6569,0.081872,Vágási 2016,B-II,B-II
Aquila chrysaetos,NA,NA,4864,Aquila chrysaetos,Aquila chrysaetos,ACCIPITRIFORMES,Accipitridae,Golden Eagle,イヌワシ,5,4263.5,1.828,0.605395,Vágási 2016,B-II,B-II
Buteo buteo,NA,NA,4826,Buteo buteo,Buteo buteo,ACCIPITRIFORMES,Accipitridae,Common Buzzard,ヨーロッパノスリ,7,776,1.124083333,0.226415,Vágási 2016,B-II,B-II
Buteo lagopus,NA,NA,4840,Buteo lagopus,Buteo lagopus,ACCIPITRIFORMES,Accipitridae,Rough-legged Buzzard,ケアシノスリ,4,956,1.2405,0.258,Vágási 2016,B-II,B-II
Circaetus gallicus,NA,NA,4659,Circaetus gallicus,Circaetus gallicus,ACCIPITRIFORMES,Accipitridae,Short-toed Snake Eagle,チュウヒワシ,4,1699.5,1.66,0.42766,Vágási 2016,B-II,B-II
Circus cyaneus,NA,NA,4696,Circus cyaneus,Circus cyaneus,ACCIPITRIFORMES,Accipitridae,Hen Harrier,ハイイロチュウヒ,4,401,1.0855,0.197555,Vágási 2016,B-II,B-II
Anas crecca,NA,NA,714,Anas crecca,Anas crecca,ANSERIFORMES,Anatidae,Eurasian Teal,コガモ,5,305.5,0.5168,0.041584,Vágási 2016,B-II,B-II
Anas platyrhynchos,NA,NA,679,Anas platyrhynchos,Anas platyrhynchos,ANSERIFORMES,Anatidae,Mallard,マガモ,6,1141,0.75725,0.093075,Vágási 2016,B-II,B-II
