Species_original,Sex,Adult_Juvenile,BirdTree_WJSpecID,Species_BirdTree,Species_IOC13.1,Order_IOC13.1,Family_IOC13.1,English.name_IOC13.1,Multiling_IOC13.1_Japanese,N_studies,body.mass_g,wingspan_m,wing.area_m2,ref,def_span,def_area
Puffinus puffinus,NA,NA,5543,Puffinus puffinus,Puffinus puffinus,PROCELLARIIFORMES,Procellariidae,Manx Shearwater,マンクスミズナギドリ,4,426,0.78,0.0559,Warham 1977,A-II,A-II
Thalassoica antarctica,NA,NA,5464,Thalassoica antarctica,Thalassoica antarctica,PROCELLARIIFORMES,Procellariidae,Antarctic Petrel,ナンキョクフルマカモメ,2,641,NA,0.082,Warham 1977,NA,A-II
Alca torda,NA,NA,4510,Alca torda,Alca torda,CHARADRIIFORMES,Alcidae,Razorbill,オオハシウミガラス,5,620,0.661,0.0462,Pennycuick 1987,A?-II?,A?-II?
Fratercula arctica,NA,NA,4532,Fratercula arctica,Fratercula arctica,CHARADRIIFORMES,Alcidae,Atlantic Puffin,ニシツノメドリ,5,398,0.549,0.0369,Pennycuick 1987,A?-II?,A?-II?
Uria aalge,NA,NA,4508,Uria aalge,Uria aalge,CHARADRIIFORMES,Alcidae,Common Murre,ウミガラス,5,950,0.707,0.0544,Pennycuick 1987,A?-II?,A?-II?
Larus argentatus,NA,NA,4396,Larus argentatus,Larus argentatus,CHARADRIIFORMES,Laridae,European Herring Gull,セグロカモメ,6,940,1.31,0.181,Pennycuick 1987,A?-II?,A?-II?
Larus marinus,NA,NA,4384,Larus marinus,Larus marinus,CHARADRIIFORMES,Laridae,Great Black-backed Gull,オオカモメ,5,1560,1.69,0.317,Pennycuick 1987,A?-II?,A?-II?
Rissa tridactyla,NA,NA,4440,Rissa tridactyla,Rissa tridactyla,CHARADRIIFORMES,Laridae,Black-legged Kittiwake,ミツユビカモメ,6,387,0.965,0.101,Pennycuick 1987,A?-II?,A?-II?
Stercorarius parasiticus,NA,NA,4346,Stercorarius parasiticus,Stercorarius parasiticus,CHARADRIIFORMES,Stercorariidae,Parasitic Jaeger,クロトウゾクカモメ,4,390,1.05,0.117,Pennycuick 1987,A?-II?,A?-II?
Catharacta skua,NA,NA,4350,Catharacta skua,Stercorarius skua,CHARADRIIFORMES,Stercorariidae,Great Skua,キタオオトウゾクカモメ,4,1350,1.37,0.214,Pennycuick 1987,A?-II?,A?-II?
