scientific_name,family,order,type,max_speed,wingspan,wingarea,mass,speed
Thalasseus maximus,Laridae,Charadriiformes,seabird,17.785382568733,1.15,0.108,0.442655,18
Thalasseus sandvicensis,Laridae,Charadriiformes,seabird,15.9846494704926,0.963,0.06975,0.203915,16
Thalassoica antarctica,Procellariidae,Procellariiformes,seabird,21.7222848287617,1.035,0.0963,0.720715,22
Torgos tracheliotos,Accipitridae,Accipitriformes,other,17.4592062504521,2.64,1.03,6.7845,18
Toxostoma rufum,Mimidae,Passeriformes,passerine,17.2261783655166,0.326,0.0217,0.0669,18
Trigonoceps occipitalis,Accipitridae,Accipitriformes,other,18.0587167769113,2.19625,0.64698,3.4255,19
Tringa glareola,Scolopacidae,Charadriiformes,other,19.3847074615812,0.392,0.0192166666666667,0.064525,20
Tringa nebularia,Scolopacidae,Charadriiformes,other,20.4881009543064,0.583875,0.04015625,0.183375,21
Tringa ochropus,Scolopacidae,Charadriiformes,other,18.39176221529,0.45,0.0289,0.0792,19
Tringa semipalmata,Scolopacidae,Charadriiformes,other,19.0546929932736,0.7,0.0632,0.22785,20
Troglodytes troglodytes,Troglodytidae,Passeriformes,passerine,15.2457636692384,0.148407407666667,0.00516814833333333,0.00953333333333333,16
Turdus iliacus,Turdidae,Passeriformes,passerine,16.3863049328932,0.361,0.0225,0.06175,17
Turdus merula,Turdidae,Passeriformes,passerine,17.7036096896742,0.381357142833333,0.0299972618333333,0.102648333333333,18
Turdus migratorius,Turdidae,Passeriformes,passerine,16.2806450697134,0.39,0.028,0.07325,17
Turdus philomelos,Turdidae,Passeriformes,passerine,16.9316036346028,0.35388,0.0225264,0.06861,17
Turdus pilaris,Turdidae,Passeriformes,passerine,17.3906689822826,0.41275,0.031503625,0.10484375,18
Turdus torquatus,Turdidae,Passeriformes,passerine,17.0419339223193,0.439333333333333,0.033,0.106333333333333,18
Turdus viscivorus,Turdidae,Passeriformes,passerine,17.352614253073,0.455,0.03455,0.120935,18
Tyto alba,Tytonidae,Strigiformes,other,17.6044076073807,0.9504,0.1348841665,0.3910225,18
Tyto capensis,Tytonidae,Strigiformes,other,16.5705374043852,1.03825,0.15201,0.38932,17
Upupa epops,Upupidae,Bucerotiformes,other,16.4207080878732,0.43858333325,0.0416708335,0.06644,17
Uria aalge,Alcidae,Charadriiformes,seabird,27.4654761682139,0.714333333333333,0.0542666666666667,0.980465,28
Uria lomvia,Alcidae,Charadriiformes,seabird,27.2754237056556,0.727,0.056,0.976495,28
Urile pelagicus,Phalacrocoracidae,Suliformes,seabird,25.0043767374611,0.954,0.145,1.601475,26
Urile penicillatus,Phalacrocoracidae,Suliformes,seabird,24.6595381739036,1.083,0.1865,2.04662,25
Vanellus spinosus,Charadriidae,Charadriiformes,other,16.977476874687,0.7,0.07,0.168975,17
Vanellus vanellus,Charadriidae,Charadriiformes,other,17.8588586497369,0.74,0.0782,0.222935,18
Vireo olivaceus,Vireonidae,Passeriformes,passerine,14.3777500670484,0.243,0.0103,0.01678,15
Vultur gryphus,Cathartidae,Cathartiformes,other,17.7143145808397,2.53,0.933,11.21805,18
Zapornia parva,Rallidae,Gruiformes,other,20.9401010510953,0.2825,0.012895,0.0497,21
Zapornia paykullii,Rallidae,Gruiformes,other,20.5467878662384,0.4,0.028496,0.103,21
Zenaida macroura,Columbidae,Columbiformes,other,20.6157795166286,0.432,0.0314,0.118965,21
