scientific_name,family,order,type,max_speed,wingspan,wingarea,mass,speed
Corvus corax,Corvidae,Passeriformes,passerine,17.0941057030088,1.175,0.2472,0.987485,18
Corvus corone,Corvidae,Passeriformes,passerine,16.6941531279908,0.9925,0.1936625,0.6190625,17
Corvus frugilegus,Corvidae,Passeriformes,passerine,16.9601351057941,0.8879,0.129837,0.46845,17
Corvus monedula,Corvidae,Passeriformes,passerine,17.3301644623669,0.62592,0.0655348,0.23625,18
Corvus ruficollis,Corvidae,Passeriformes,passerine,16.1941588047211,1.1,0.1944,0.64675,17
Coscoroba coscoroba,Anatidae,Anseriformes,other,22.5155148829234,1.76,0.384,4.44739,23
Coturnix coturnix,Phasianidae,Galliformes,other,21.7246240383809,0.37,0.02,0.09614,22
Coturnix japonica,Phasianidae,Galliformes,other,22.441112912536,0.38,0.0234,0.12689,23
Creagrus furcatus,Laridae,Charadriiformes,seabird,17.2559220531515,1.368,0.1878,0.688495,18
Crex crex,Rallidae,Gruiformes,other,21.2559055425408,0.45245,0.0379155,0.155205,22
Cuculus canorus,Cuculidae,Cuculiformes,other,16.5676738952603,0.5915,0.0555833333333333,0.11218,17
Curruca communis,Sylviidae,Passeriformes,passerine,14.575396751379,0.21508,0.0095529334,0.01504,15
Curruca curruca,Sylviidae,Passeriformes,passerine,14.3477147266568,0.1961,0.0075692,0.01142,15
Curruca hortensis,Sylviidae,Passeriformes,passerine,15.1882459063909,0.24,0.0112,0.02145,16
Curruca nisoria,Sylviidae,Passeriformes,passerine,14.9371227621795,0.24975,0.0129075,0.0225,15
Cursorius cursor,Glareolidae,Charadriiformes,other,18.7724291740223,0.54,0.0407,0.1265,19
Cyanistes caeruleus,Paridae,Passeriformes,passerine,13.9482226657197,0.192833333333333,0.00863,0.0107833333333333,14
Cygnus columbianus,Anatidae,Anseriformes,other,21.7221937063476,1.9725,0.471075,6.033605,22
Cygnus cygnus,Anatidae,Anseriformes,other,18.9770208535359,2.29,0.614833333333333,9.56482833333333,19
Cygnus olor,Anatidae,Anseriformes,other,19.2556080436444,2.3,0.650266666666667,10.0838533333333,20
Daption capense,Procellariidae,Procellariiformes,seabird,20.6725083451473,0.879333333333333,0.0729333333333333,0.42131,21
Delichon urbicum,Hirundinidae,Passeriformes,passerine,13.2769907511493,0.27970833325,0.01086458325,0.015,14
Dendrocopos major,Picidae,Piciformes,other,17.9860132259979,0.41265,0.0359575,0.075855,18
Dinemellia dinemelli,Ploceidae,Passeriformes,passerine,14.3734715840512,0.434,0.0397,0.063945,15
Diomedea epomophora,Diomedeidae,Procellariiformes,seabird,17.4359522409172,2.82,0.4963,8.801305,18
Diomedea exulans,Diomedeidae,Procellariiformes,seabird,17.890548938014,2.99375,0.563175,7.553895,18
Dryocopus martius,Picidae,Piciformes,other,19.4021095680561,0.69225,0.1033275,0.321,20
Dumetella carolinensis,Mimidae,Passeriformes,passerine,15.747104627979,0.287,0.0162,0.035875,16
Egretta caerulea,Ardeidae,Pelecaniformes,other,17.03847376343,0.98,0.134,0.366805,18
Egretta garzetta,Ardeidae,Pelecaniformes,other,18.7759139535859,0.92,0.10805,0.41625,19
Egretta tricolor,Ardeidae,Pelecaniformes,other,18.2303952732987,0.89,0.118,0.37365,19
Elanus caeruleus,Elanidae,Accipitriformes,other,17.2625443741411,0.8444,0.08906,0.25163,18
Emberiza calandra,Emberizidae,Passeriformes,passerine,17.0551861186994,0.27975,0.01662,0.048625,18
Emberiza cia,Emberizidae,Passeriformes,passerine,14.9705868581206,0.2455,0.0140633335,0.02344,15
Emberiza citrinella,Emberizidae,Passeriformes,passerine,15.4477743976807,0.2685333334,0.014389,0.02918,16
Emberiza hortulana,Emberizidae,Passeriformes,passerine,14.4435069120102,0.250666666666667,0.01338,0.02025,15
Emberiza pusilla,Emberizidae,Passeriformes,passerine,14.4509794623121,0.212,0.00946,0.014285,15
Emberiza schoeniclus,Emberizidae,Passeriformes,passerine,14.4749199903854,0.235,0.0123758333333333,0.0183666666666667,15
Erithacus rubecula,Muscicapidae,Passeriformes,passerine,15.0174832800731,0.219172222333333,0.0100062036666667,0.017775,16
Eudocimus albus,Threskiornithidae,Pelecaniformes,other,21.9455679523645,0.959,0.149,0.89483,22
Eudyptes chrysolophus,Spheniscidae,Sphenisciformes,seabird,28.4330944896448,0.76,0.0344,3.84254,29
Eudyptula minor,Spheniscidae,Sphenisciformes,seabird,29.0129357648367,0.48,0.014,1.10391,30
Falco biarmicus,Falconidae,Falconiformes,other,19.4633755713368,1.04836666666667,0.131436666666667,0.592478333333333,20
Falco cherrug,Falconidae,Falconiformes,other,21.9369896436982,1.0245,0.149965,0.963605,22
Falco chicquera,Falconidae,Falconiformes,other,19.0015946476021,0.6866,0.05916,0.2121,20
Falco columbarius,Falconidae,Falconiformes,other,19.3904731657867,0.589,0.0493,0.17325,20
Falco concolor,Falconidae,Falconiformes,other,16.8435936312192,0.8049,0.088565,0.21875,17
Falco dickinsoni,Falconidae,Falconiformes,other,19.2037361094243,0.6691,0.0523,0.199,20
Falco eleonorae,Falconidae,Falconiformes,other,17.8180894170938,0.966666666666667,0.1194,0.381,18
Falco jugger,Falconidae,Falconiformes,other,19.5966110525882,1.08,0.157,0.7035,20
Falco mexicanus,Falconidae,Falconiformes,other,21.01606936648,1.02,0.137,0.774535,22
Falco naumanni,Falconidae,Falconiformes,other,17.0975833567995,0.667925,0.059765,0.14828,18
Falco peregrinus,Falconidae,Falconiformes,other,21.2100040832427,1.00483333333333,0.122181111111111,0.735308333333333,22
Falco rupicoloides,Falconidae,Falconiformes,other,17.6569512358384,0.836,0.08449,0.25815,18
Falco rusticolus,Falconidae,Falconiformes,other,21.2680044997629,1.25,0.197,1.30086,22
Falco sparverius,Falconidae,Falconiformes,other,17.9957310981376,0.559,0.0417,0.115305,18
Falco subbuteo,Falconidae,Falconiformes,other,18.1022932272215,0.7316,0.067918,0.211385,19
Falco tinnunculus,Falconidae,Falconiformes,other,17.4135668099908,0.718158874571429,0.0740262987142857,0.193355,18
Falco vespertinus,Falconidae,Falconiformes,other,16.5958581640211,0.69963333325,0.06396666675,0.1485575,17
Ficedula albicollis,Muscicapidae,Passeriformes,passerine,13.5291222055098,0.2305,0.010385,0.012695,14
Ficedula hypoleuca,Muscicapidae,Passeriformes,passerine,14.0509307631451,0.226111111333333,0.00952777766666667,0.013695,15
Fratercula arctica,Alcidae,Charadriiformes,seabird,26.4777529174351,0.549,0.0368666666666667,0.493671666666667,27
Fratercula cirrhata,Alcidae,Charadriiformes,seabird,27.0056400228975,0.662,0.0512,0.786685,28
Fratercula corniculata,Alcidae,Charadriiformes,seabird,26.5657602882351,0.607,0.0434,0.59957,27
Fregata magnificens,Fregatidae,Suliformes,seabird,16.2004078939826,2.12,0.359,1.48026,17
Fregata minor,Fregatidae,Suliformes,seabird,15.8465862933698,1.98,0.354,1.252335,16
Fregetta grallaria,Oceanitidae,Procellariiformes,seabird,15.7893880988838,0.447,0.0283,0.04779,16
Fregetta tropica,Oceanitidae,Procellariiformes,seabird,17.0920708039522,0.435,0.0257,0.05575,18
Fringilla coelebs,Fringillidae,Passeriformes,passerine,14.8500831522441,0.2616,0.0134537142857143,0.0235364285714286,15
Fringilla montifringilla,Fringillidae,Passeriformes,passerine,14.8183958737118,0.266,0.0129731428,0.023255,15
Fulica americana,Rallidae,Gruiformes,other,26.0184951692738,0.62,0.0564,0.63937,27
Fulica atra,Rallidae,Gruiformes,other,24.9543870892841,0.729,0.0788083333333333,0.761226666666667,25
Fulmarus glacialis,Procellariidae,Procellariiformes,seabird,20.4596094251279,1.10375,0.113275,0.69197,21
Fulmarus glacialoides,Procellariidae,Procellariiformes,seabird,21.3016407919787,1.116,0.11445,0.81246,22
Galerida cristata,Alaudidae,Passeriformes,passerine,15.2995468741445,0.332666666666667,0.0215233333333333,0.0431166666666667,16
